source,video_index,file_path,half,clock,time_seconds,label,team,confidence,details
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:00,0.0,Shot off target,away,0.9,Player in white kicks the ball towards the goal but misses
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:02,2.0,Set Pieces,home,0.9,Free-kick
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:06,6.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:08,8.0,Shot off target,away,0.8,Player takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:12,12.0,Foul,away,0.9,Player from away team fouls the opponent
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:14,14.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:16,16.0,Foul,home,0.8,Player from home team fouls the player from away team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:18,18.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:20,20.0,Foul,home,0.9,Player from away team fouls player from home team
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:22,22.0,Shot off target,away,0.9,Player in blue takes a shot but misses the goal
Qwen,0,/home/user/SoccerNetLLMVideoBenchmark/qwenjson/final_predictions_qwen7b_video_0.json,1,00:26,26.0,Shot off target,away,0.8,Player from away team takes a shot but misses the goal
